            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460320.588300694, A.D. 2024-Jan-11 02:07:09.1800, -1.547474614438335E+04,  3.378929507568147E+05,  2.286160409558327E+04, -2.331560921471766E-01,  5.715621034377623E-01,  9.312432657957320E-02,  1.130845091791199E+00,  3.390188296853193E+05,  5.865863222991733E-01,
2460320.598837500, A.D. 2024-Jan-11 02:22:19.5600, -1.568694956027601E+04,  3.384118789849505E+05,  2.294628633509584E+04, -2.330301711251840E-01,  5.684651094566859E-01,  9.291283454544255E-02,  1.132621845133649E+00,  3.395514869371119E+05,  5.836018704034497E-01,
2460320.609374306, A.D. 2024-Jan-11 02:37:29.9400, -1.589903779818111E+04,  3.389279923120114E+05,  2.303077613206685E+04, -2.329030611118814E-01,  5.653780742407554E-01,  9.270155300988550E-02,  1.134389549790992E+00,  3.400814314613549E+05,  5.806267576490263E-01,
2460320.619911111, A.D. 2024-Jan-11 02:52:40.3200, -1.611100978062072E+04,  3.394412997618581E+05,  2.311507367923335E+04, -2.327747737124063E-01,  5.623009042684562E-01,  9.249048229208365E-02,  1.136148233991733E+00,  3.406086717207407E+05,  5.776608968201544E-01,
2460320.630447917, A.D. 2024-Jan-11 03:07:50.7000, -1.632286444055589E+04,  3.399518102708587E+05,  2.319917916693955E+04, -2.326453184508445E-01,  5.592335022209379E-01,  9.227962168461121E-02,  1.137897925690970E+00,  3.411332160959974E+05,  5.747041966786132E-01,
2460320.640984722, A.D. 2024-Jan-11 03:23:01.0800, -1.653460072131210E+04,  3.404595326898288E+05,  2.328309278386188E+04, -2.325147102251951E-01,  5.561757757639739E-01,  9.206896350493757E-02,  1.139638652576796E+00,  3.416550728878056E+05,  5.717565706666914E-01,
2460320.651521528, A.D. 2024-Jan-11 03:38:11.4600, -1.674621757618979E+04,  3.409644757841098E+05,  2.336681471645234E+04, -2.323829556495937E-01,  5.531276310208441E-01,  9.185851278351428E-02,  1.141370442070152E+00,  3.421742503167574E+05,  5.688179310897847E-01,
2460320.662058333, A.D. 2024-Jan-11 03:53:21.8400, -1.695771396855502E+04,  3.414666482352680E+05,  2.345034514920383E+04, -2.322500694177200E-01,  5.500889767283818E-01,  9.164826053645306E-02,  1.143093321330355E+00,  3.426907565250110E+05,  5.658881922270995E-01,
2460320.672595139, A.D. 2024-Jan-11 04:08:32.2200, -1.716908887139223E+04,  3.419660586417272E+05,  2.353368426477403E+04, -2.321160596539293E-01,  5.470597219813451E-01,  9.143820931758725E-02,  1.144807317256956E+00,  3.432045995768487E+05,  5.629672691167662E-01,
2460320.683131944, A.D. 2024-Jan-11 04:23:42.6000, -1.738034126739739E+04,  3.424627155198141E+05,  2.361683224359380E+04, -2.319809371530382E-01,  5.440397771478440E-01,  9.122835584738040E-02,  1.146512456492942E+00,  3.437157874596370E+05,  5.600550777336860E-01,
