shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
"3892","41.6934857858634","13.4219773274471","1"
"3892","41.6912699943493","13.4196344167754","2"
"3892","41.6890265942678","13.4194427167355","3"
"3892","41.6882768942388","13.4195602167429","4"
"3892","41.6878735942256","13.419398716721","5"
"3892","41.6875004942207","13.4185794166236","6"
"3892","41.687675594237","13.4176696165209","7"
"3892","41.6875884942352","13.4175389165053","8"
"3892","41.6869930941952","13.4192042166913","9"
"3892","41.6869671941841","13.4201204167967","10"
"3892","41.687109394182","13.4207981168764","11"

